,Address,Location
79,"7650 S WOLCOTT AVE,Chicago,IL","(41.75460959999999, -87.67149739999999)"
80,"1140 W 66TH ST,Chicago,IL","(41.774826, -87.65379779999999)"
81,"4220 N RICHMOND ST,Chicago,IL","(41.9581759, -87.7026015)"
82,"517 W WISCONSIN ST,Chicago,IL","(41.9164587, -87.6417884)"
83,"10650 S LONGWOOD DR,Chicago,IL","(41.6996246, -87.6712012)"
84,"6445 W STRONG ST,Chicago,IL","(41.9699408, -87.790275)"
85,"5255 S STATE ST,Chicago,IL","(41.7990167, -87.6248351)"
86,"5025 N LARAMIE AVE,Chicago,IL","(41.9720396, -87.75681850000001)"
87,"6156 S DORCHESTER AVE,Chicago,IL","(41.782694, -87.59165899999999)"
88,"25 W 47TH ST,Chicago,IL","(41.8092041, -87.62715899999999)"
89,"3151 W WALNUT ST,Chicago,IL","(41.8851078, -87.70488879999999)"
90,"1725 N SPRINGFIELD AVE,Chicago,IL","(41.912869, -87.7239692)"
91,"4257 N TRIPP AVE,Chicago,IL","(41.958895, -87.733679)"
92,"3020 N OAK PARK AVE,Chicago,IL","(41.9352459, -87.7960202)"
93,"3730 N OAKLEY AVE,Chicago,IL","(41.9494917, -87.6865742)"
94,"2456 N MANGO AVE,Chicago,IL","(41.924838, -87.77026599999999)"
95,"10115 S PRAIRIE AVE,Chicago,IL","(41.71052479999999, -87.6169857)"
96,"3760 N PINE GROVE AVE,Chicago,IL","(41.9511593, -87.6475437)"
97,"8930 S MUSKEGON AVE,Chicago,IL","(41.7330945, -87.5555985)"
98,"4215 W WEST END AVE,Chicago,IL","(41.8829556, -87.73127629999999)"
99,"6803 N CAMPBELL AVE,Chicago,IL","(42.0052347, -87.69231599999999)"
100,"3030 W ARTHINGTON ST,Chicago,IL","(41.8703061, -87.7023)"
101,"2460 W 102ND ST,Chicago,IL","(41.7082007, -87.68315729999999)"
102,"9356 S JUSTINE ST,Chicago,IL","(41.7232858, -87.661833)"
103,"9916 S WALDEN PKWY,Chicago,IL","(41.713303, -87.6679798)"
104,"1438 W OHIO ST,Chicago,IL","(41.892473, -87.66381439999999)"
105,"427 E 45TH ST,Chicago,IL","(41.8127769, -87.61524299999999)"
106,"5641 S KENWOOD AVE,Chicago,IL","(41.7922491, -87.5932457)"
107,"9101 S EUCLID AVE,Chicago,IL","(41.729207, -87.5763834)"
108,"2318 N LAVERGNE AVE,Chicago,IL","(41.9228767, -87.751605)"
109,"1800 W 115TH ST,Chicago,IL","(41.6847207, -87.6670141)"
110,"1420 W GRACE ST,Chicago,IL","(41.9509477, -87.6650058)"
111,"6751 W 63RD PL,Chicago,IL","(41.7763365, -87.789709)"
112,"346 W 104TH ST,Chicago,IL","(41.7067469, -87.6328467)"
113,"6237 N WHIPPLE ST,Chicago,IL","(41.9950262, -87.7053763)"
114,"3939 W 79TH ST,Chicago,IL","(41.7487644, -87.7206719)"
115,"3939 W 79TH ST,Chicago,IL","(41.7487644, -87.7206719)"
116,"1978 W 111TH ST,Chicago,IL","(41.6919429, -87.67093969999999)"
117,"3601 W ARTHINGTON ST,Chicago,IL","(41.8699144, -87.717038)"
118,"7050 S MAY ST,Chicago,IL","(41.7657146, -87.6534178)"
119,"1241 W 58TH ST,Chicago,IL","(41.7884892, -87.65648929999999)"
120,"6710 N WASHTENAW AVE,Chicago,IL","(42.0039664, -87.6979523)"
121,"3044 S BONFIELD ST,Chicago,IL","(41.83923069999999, -87.65377289999999)"
122,"6646 S UNIVERSITY AVE,Chicago,IL","(41.773573, -87.5984797)"
123,"7355 S JEFFERY BL,Chicago,IL","(41.7611357, -87.57607039999999)"
124,"2710 E 89TH ST,Chicago,IL","(41.7344345, -87.55750069999999)"
125,"9729 S YATES AVE,Chicago,IL","(41.71809710000001, -87.5643236)"
126,"7736 S BURNHAM AVE,Chicago,IL","(41.7548658, -87.55777669999999)"
127,"1246 W 92ND ST,Chicago,IL","(41.7270772, -87.654913)"
128,"3285 N ELSTON AVE,Chicago,IL","(41.941243, -87.699535)"
129,"4251 N CLARENDON AVE,Chicago,IL","(41.9600422, -87.6492392)"
130,"2723 N FAIRFIELD AVE,Chicago,IL","(41.931012, -87.69604269999999)"
131,"8622 W CATALPA AVE,Chicago,IL","(41.9794596, -87.8434879)"
132,"3800 N NEW ENGLAND AVE,Chicago,IL","(41.949675, -87.7989339)"
133,"3700 S LOWE AVE,Chicago,IL","(41.8266894, -87.6426221)"
134,"10740 S CALHOUN AVE,Chicago,IL","(41.6997402, -87.5623159)"
135,"3501 S RICHMOND ST,Chicago,IL","(41.8297016, -87.69833779999999)"
136,"3825 S WASHTENAW AVE,Chicago,IL","(41.8239989, -87.6918618)"
137,"3000 W. DEVON AVE,Chicago,IL","(41.9975768, -87.70471859999999)"
138,"5400 N BROADWAY,Chicago,IL","(41.9800704, -87.6599888)"
139,"4437 N MAGNOLIA AVE,Chicago,IL","(41.9628196, -87.66097769999999)"
140,"8 W ROOT ST,Chicago,IL","(41.81982929999999, -87.6269947)"
141,"4542 S GREENWOOD AVE,Chicago,IL","(41.8119775, -87.5993191)"
142,"7046 N HARLEM AVE,Chicago,IL","(42.0092711, -87.80667)"
143,"250 E 111TH ST,Chicago,IL","(41.6941384, -87.6158444)"
144,"10001 S PULASKI RD,Chicago,IL","(41.7110849, -87.71997309999999)"
145,"644 E 86TH ST,Chicago,IL","(41.7383971, -87.6086796)"
146,"12607 S UNION AVE,Chicago,IL","(41.6648631, -87.6386967)"
147,"54 N HERMITAGE AVE,Chicago,IL","(41.882633, -87.6705831)"
148,"6741 S MICHIGAN AVE,Chicago,IL","(41.7715893, -87.62140649999999)"
149,"5600 W IOWA ST,Chicago,IL","(41.897163, -87.76606400000001)"
150,"5640 N PULASKI RD,Chicago,IL","(41.9840401, -87.72845509999999)"
151,"9207 S PHILLIPS AVE,Chicago,IL","(41.7270568, -87.5645093)"
152,"4347 S CALUMET AVE,Chicago,IL","(41.815197, -87.617955)"
153,"2701 W FOSTER AVE,Chicago,IL","(41.9753187, -87.6968823)"
154,"1049 W BUENA,Chicago,IL","(41.9586072, -87.65656129999999)"
155,"4500 N CALIFORNIA AVE,Chicago,IL","(41.9631994, -87.6988393)"
156,"6515 S ASHLAND AVE,Chicago,IL","(41.7751925, -87.6637097)"
157,"2035 N MOBILE AVE,Chicago,IL","(41.9176413, -87.7818119)"
158,"1903 E 96TH ST,Chicago,IL","(41.7206139, -87.5772594)"
159,"5356 S DR MARTIN LUTHER KING,Chicago,IL","(41.7968952, -87.6160225)"
160,"1630 W BARRY AVE,Chicago,IL","(41.9380894, -87.66983049999999)"
161,"9400 S GREENWOOD AVE,Chicago,IL","(41.7240178, -87.5972623)"
162,"650 E 91ST PL,Chicago,IL","(41.7288177, -87.60766)"
163,"1621 W WABANSIA AVE,Chicago,IL","(41.91212700000001, -87.6686796)"
164,"3542 S WASHTENAW AVE,Chicago,IL","(41.8288647, -87.69269919999999)"
165,"4913 N SHERIDAN RD,Chicago,IL","(41.9723622, -87.65490199999999)"
166,"5324 S WOODLAWN AVE,Chicago,IL","(41.7986855, -87.59662580000001)"
167,"5329 S OAK PARK AVE,Chicago,IL","(41.7948196, -87.79101759999999)"
168,"6050 N CALIFORNIA AVE,Chicago,IL","(41.9918762, -87.69980079999999)"
169,"5959 N SHERIDAN RD,Chicago,IL","(41.9904941, -87.65483139999999)"
170,"3814 W IOWA ST,Chicago,IL","(41.8974793, -87.72210830000002)"
171,"8546 S CREGIER AVE,Chicago,IL","(41.7392845, -87.5815346)"
172,"2833 W ADAMS ST,Chicago,IL","(41.8781359, -87.6975332)"
173,"3843 N CALIFORNIA AVE,Chicago,IL","(41.9517076, -87.6970874)"
174,"3456 W. 38TH ST,Chicago,IL","(41.8245538, -87.71140009999999)"
175,"8131 S MAY ST,Chicago,IL","(41.7459618, -87.6515055)"
176,"9801 S AVENUE G,Chicago,IL","(41.7178298, -87.5306437)"
177,"1234 N MONTICELLO AVE,Chicago,IL","(41.9040722, -87.7182183)"
178,"3000 N MANGO AVE,Chicago,IL","(41.93535929999999, -87.7703738)"
179,"2701 S ASHLAND AVE,Chicago,IL","(41.842111, -87.6657575)"
180,"4959 S BLACKSTONE AVE,Chicago,IL","(41.80465239999999, -87.5900906)"
181,"3740 N PANAMA AVE,Chicago,IL","(41.94792899999999, -87.829899)"
182,"8701 SOUTH BENNETT,Chicago,IL","(41.7368137, -87.57774789999999)"
183,"2345 S MILLARD AVE,Chicago,IL","(41.84843499999999, -87.71559719999999)"
184,"2406 S CENTRAL PARK AVE,Chicago,IL","(41.8477075, -87.7152998)"
185,"1651 W DIVERSEY PKWY,Chicago,IL","(41.93175859999999, -87.67048679999999)"
186,"5522 N MILWAUKEE AVE,Chicago,IL","(41.9820411, -87.77399489999999)"
187,"6441 N CENTRAL AVE,Chicago,IL","(41.9985201, -87.7631388)"
188,"1224 W CARMEN AVE,Chicago,IL","(41.9745965, -87.6608776)"
189,"1414 E 61ST PL,Chicago,IL","(41.7835894, -87.5910163)"
190,"6155 S CARPENTER ST,Chicago,IL","(41.78166299999999, -87.650565)"
191,"1250 W ERIE ST,Chicago,IL","(41.8939416, -87.6587921)"
192,"2929 W 83RD ST,Chicago,IL","(41.7421281, -87.6968203)"
193,"5516 S MAPLEWOOD AVE,Chicago,IL","(41.793112, -87.687934)"
194,"5740 S MICHIGAN AVE,Chicago,IL","(41.79001179999999, -87.6223529)"
195,"939 E 132ND ST,Chicago,IL","(41.6558488, -87.5986161)"
196,"13100 S CARVER DR,Chicago,IL","(42.3327874, -87.8636813)"
197,"901 E 133RD PL,Chicago,IL","(41.653157, -87.6009888)"
198,"3501 W POTOMAC AVE,Chicago,IL","(41.90404179999999, -87.71457550000001)"
199,"11314 S SPAULDING AVE,Chicago,IL","(41.6875193, -87.70396290000001)"
200,"2524 S CENTRAL PARK AVE,Chicago,IL","(41.8455403, -87.71514309999999)"
201,"4330 S KEDVALE AVE,Chicago,IL","(41.814104, -87.72782099999999)"
202,"2908 W WASHINGTON BL,Chicago,IL","(41.8832454, -87.6993324)"
203,"226 W SCHILLER,Chicago,IL","(41.9078693, -87.6358492)"
204,"5315 N WINTHROP AVE,Chicago,IL","(41.9786773, -87.6578954)"
205,"6086 N NORTHWEST HWY,Chicago,IL","(41.9920952, -87.7985949)"
206,"721 N CENTRAL PARK AVE,Chicago,IL","(41.89431820000001, -87.71627339999999)"
207,"1100 W IRVING PARK RD,Chicago,IL","(41.954629, -87.6572544)"
208,"2745 W ROOSEVELT RD,Chicago,IL","(41.8661963, -87.6951283)"
209,"4233 S GREENWOOD AVE,Chicago,IL","(41.8173018, -87.5993836)"
210,"5145 N LEAVITT ST,Chicago,IL","(41.9750319, -87.6842531)"
211,"2021 N POINT ST,Chicago,IL","(41.918172, -87.6942832)"
212,"4725 N ASHLAND AVE,Chicago,IL","(41.9678729, -87.6693414)"
213,"4747 S MARSHFIELD AVE,Chicago,IL","(41.8073824, -87.6657907)"
214,"2809 W JARVIS AVE,Chicago,IL","(42.01531689999999, -87.700188)"
215,"7005 S DANTE AVE,Chicago,IL","(41.7677341, -87.58902479999999)"
216,"2205 W BELMONT AVE,Chicago,IL","(41.9393428, -87.6834526)"
217,"3400 N AUSTIN AVE,Chicago,IL","(41.9430077, -87.77735589999999)"
218,"1010 W CHICAGO,Chicago,IL","(41.8965186, -87.6531728)"
219,"3807 W 111TH ST,Chicago,IL","(41.6913273, -87.71612239999999)"
220,"3737 S PAULINA ST,Chicago,IL","(41.8256821, -87.6675037)"
221,"5110 W DIVERSEY,Chicago,IL","(41.93177379999999, -87.7546083)"
222,"5700 N PULASKI RD,Chicago,IL","(41.9845136, -87.7287498)"
223,"541 W HAWTHORNE PL,Chicago,IL","(41.9442229, -87.64263179999999)"
224,"2189 W BOWLER ST,Chicago,IL","(41.8701894, -87.6805182)"
225,"2235 N HAMILTON ST,Chicago,IL","(41.92249839999999, -87.68083229999999)"
226,"1309 W 95TH ST,Chicago,IL","(41.7203832, -87.655901)"
227,"3900 W PETERSON AVE,Chicago,IL","(41.9908915, -87.72756849999999)"
228,"11530 S PRAIRIE AVE,Chicago,IL","(41.6844598, -87.6167782)"
229,"6105 S MICHIGAN AVE,Chicago,IL","(41.7834911, -87.62153200000002)"
230,"2245 N MC VICKER AVE,Chicago,IL","(41.9217723, -87.7765625)"
231,"212 S FRANCISCO AVE,Chicago,IL","(41.8778555, -87.6991705)"
232,"5058 W JACKSON BLVD,Chicago,IL","(41.8771777, -87.7516546)"
233,"1850 W ROOSEVELT RD,Chicago,IL","(41.8672328, -87.6724245)"
234,"7202 N CLARK ST,Chicago,IL","(42.0129142, -87.6746679)"
235,"3519 S GILES AVE,Chicago,IL","(41.8301051, -87.6189808)"
236,"7008 S MICHIGAN AVE,Chicago,IL","(41.7669482, -87.62223469999999)"
237,"1248 W 69TH ST,Chicago,IL","(41.7689197, -87.6563164)"
238,"38 S PEORIA ST,Chicago,IL","(41.8808261, -87.65001889999999)"
239,"2100 E 87TH ST,Chicago,IL","(41.7384975, -87.5725195)"
240,"1300 W LOYOLA AVE,Chicago,IL","(42.0016472, -87.6637475)"
241,"1240 S PULASKI RD,Chicago,IL","(41.8652136, -87.7254663)"
242,"1241 S PULASKI RD,Chicago,IL","(41.8648675, -87.72478029999999)"
243,"12803 S HALSTED ST,Chicago,IL","(41.66120799999999, -87.640973)"
244,"5480 S KENWOOD AVE,Chicago,IL","(41.7957122, -87.59386119999999)"
245,"2301 S WENTWORTH AVE,Chicago,IL","(41.8507437, -87.6316269)"
246,"6758 N SACRAMENTO AVE,Chicago,IL","(42.0046431, -87.7045938)"
247,"3420 N LONG AVE,Chicago,IL","(41.9432061, -87.762451)"
248,"2450 W RICE ST,Chicago,IL","(41.8970977, -87.6885334)"
249,"11429 S DR MARTIN LUTHER KIN,Chicago,IL","(41.6863447, -87.61319950000001)"
250,"5335 W LE MOYNE ST,Chicago,IL","(41.9076355, -87.7596148)"
251,"9240 S HOYNE AVE,Chicago,IL","(41.7254553, -87.67451980000001)"
252,"3701 S LAKE PARK AVE,Chicago,IL","(41.8285967, -87.6059032)"
253,"1533 S CHRISTIANA AVE,Chicago,IL","(41.8597919, -87.7091286)"
254,"5042 S ARTESIAN AVE,Chicago,IL","(41.8016594, -87.6858604)"
255,"1825 N DAMEN AVE,Chicago,IL","(41.9146158, -87.6775729)"
256,"8001 S HONORE ST,Chicago,IL","(41.748439, -87.66944339999999)"
257,"118 N CENTRAL AVE,Chicago,IL","(41.8828423, -87.7654124)"
258,"2342 W FLOURNOY ST,Chicago,IL","(41.8730337, -87.6854996)"
259,"4501 N CLARENDON AVE,Chicago,IL","(41.96367739999999, -87.64931589999999)"
260,"1045 S MONITOR AVE,Chicago,IL","(41.8678731, -87.769894)"
261,"4615 W JACKSON BLVD,Chicago,IL","(41.8767224, -87.740962)"
262,"3400 N ROCKWELL AVE,Chicago,IL","(41.9433816, -87.6946043)"
263,"5101 W HARRISON ST,Chicago,IL","(41.8724677, -87.7526627)"
264,"13231 S BURLEY AVE,Chicago,IL","(41.65469340000001, -87.5440749)"
265,"2334 W DIVISION ST,Chicago,IL","(41.9033448, -87.685932)"
266,"1147 N WESTERN AVE,Chicago,IL","(41.9026168, -87.68612949999999)"
267,"3121 W BYRON ST,Chicago,IL","(41.9516981, -87.7059151)"
268,"6110 N FAIRFIELD AVE,Chicago,IL","(41.9931865, -87.6982638)"
269,"2350 W 110TH PL,Chicago,IL","(41.6929416, -87.6807159)"
270,"2210 N SOUTHPORT AVE,Chicago,IL","(41.921982, -87.66321099999999)"
271,"1755 N CLYBOURN AVE,Chicago,IL","(41.9129985, -87.6524106)"
272,"5554 N MAGNOLIA AVE,Chicago,IL","(41.9834901, -87.66135100000001)"
273,"30 E 61ST ST,Chicago,IL","(41.7837259, -87.62422699999999)"
274,"361 E 85TH ST,Chicago,IL","(41.7401361, -87.6156496)"
275,"900 E 54TH PL,Chicago,IL","(41.7964564, -87.6032658)"
276,"1441 W 119TH ST,Chicago,IL","(41.6774712, -87.65955819999999)"
277,"8441 S YATES BL,Chicago,IL","(41.74161429999999, -87.5655081)"
278,"1466 S WABASH AVE,Chicago,IL","(41.8622781, -87.62571410000001)"
279,"1313 S SACRAMENTO DR,Chicago,IL","(41.86436250000001, -87.7010703)"
280,"4520 S KEDZIE AVE,Chicago,IL","(41.8109217, -87.7044239)"
281,"1003 N LEAVITT ST,Chicago,IL","(41.8996893, -87.6814153)"
282,"500 S CENTRAL AVE,Chicago,IL","(41.8737893, -87.76496130000001)"
283,"1231 S PULASKI RD,Chicago,IL","(41.865081, -87.7247639)"
284,"7832 S UNION AVE,Chicago,IL","(41.7513598, -87.6416157)"
285,"1845 W RICE ST,Chicago,IL","(41.896629, -87.6738079)"
286,"871 N WABASH AVE,Chicago,IL","(41.8985952, -87.6267053)"
287,"8150 S BISHOP ST,Chicago,IL","(41.7458533, -87.66016599999999)"
288,"4046 N LEAVITT ST,Chicago,IL","(41.9554175, -87.6839971)"
289,"1332 W 117TH ST,Chicago,IL","(41.6812613, -87.65545940000001)"
290,"1624 W 19TH ST,Chicago,IL","(41.8561772, -87.66726390000001)"
291,"6010 S THROOP ST,Chicago,IL","(41.784509, -87.6573787)"
292,"2510 S KILDARE AVE,Chicago,IL","(41.8454986, -87.7320658)"
293,"821 E 103RD ST,Chicago,IL","(41.7065428, -87.6025983)"
294,"5473 S CORNELL AVE,Chicago,IL","(41.7958793, -87.5854264)"
295,"1809 W 50TH ST,Chicago,IL","(41.802523, -87.67007269999999)"
296,"1111 N WELLS ST,Chicago,IL","(41.9026045, -87.634106)"
297,"2100 W 91ST ST,Chicago,IL","(41.7283392, -87.6746297)"
298,"44 W 15TH ST,Chicago,IL","(41.86191729999999, -87.6291188)"
299,"5058 W WEST END AVE,Chicago,IL","(41.88343, -87.75254799999999)"
300,"11030 S LONGWOOD DR,Chicago,IL","(41.69349829999999, -87.671672)"
301,"1726 W BERTEAU AVE,Chicago,IL","(41.9579923, -87.6718558)"
302,"2611 N LOCKWOOD AVE,Chicago,IL","(41.9281734, -87.7578479)"
303,"2245 W JACKSON BL,Chicago,IL","(41.876848, -87.6832325)"
304,"1516 S KARLOV AVE,Chicago,IL","(41.8600884, -87.72772909999999)"
305,"2040 W ADAMS ST,Chicago,IL","(41.87909250000001, -87.67842019999999)"
306,"2230 N DOMINICK ST,Chicago,IL","(41.92221019999999, -87.667361)"
307,"2230 W 108TH PL,Chicago,IL","(41.6966693, -87.677689)"
308,"1851 W CERMAK ROAD,Chicago,IL","(41.851826, -87.67294079999999)"
309,"2128 S ST LOUIS AVE,Chicago,IL","(41.852819, -87.7128551)"
310,"8521 S COMMERCIAL AVE,Chicago,IL","(41.7403293, -87.551096)"
311,"8324 S RACINE AVE,Chicago,IL","(41.7420731, -87.6535167)"
312,"10650 S EBERHART AVE,Chicago,IL","(41.7002756, -87.6116202)"
313,"4959 S ARCHER AVE,Chicago,IL","(41.8022402, -87.721707)"
314,"4959 S ARCHER AVE,Chicago,IL","(41.8022402, -87.721707)"
315,"32 E 115TH ST,Chicago,IL","(41.6857487, -87.622046)"
316,"5024 S WOLCOTT AVE,Chicago,IL","(41.80240149999999, -87.6724481)"
317,"3116 W BELDEN AVE,Chicago,IL","(41.9235103, -87.7053037)"
318,"3014 W 39TH PL,Chicago,IL","(41.8222433, -87.7003271)"
319,"5427 W DIVISION ST,Chicago,IL","(41.9019434, -87.7621073)"
320,"4430 S MARSHFIELD AVE,Chicago,IL","(41.8132366, -87.6668854)"
321,"6730 S PAULINA ST,Chicago,IL","(41.771165, -87.666045)"
322,"8040 S DAMEN AVE,Chicago,IL","(41.7473168, -87.6730596)"
323,"3810 W 81ST PL,Chicago,IL","(41.7455946, -87.71863139999999)"
324,"800 S WELLS ST,Chicago,IL","(41.8714475, -87.634244)"
325,"1550 S STATE ST,Chicago,IL","(41.8604169, -87.6279242)"
326,"1313 N CLAREMONT AVE,Chicago,IL","(41.9057847, -87.6855288)"
327,"16 E 35TH ST,Chicago,IL","(41.8310164, -87.62572139999999)"
328,"139 S PARKSIDE AVE,Chicago,IL","(41.8781592, -87.7656299)"
329,"1356 N DEAN ST,Chicago,IL","(41.9070952, -87.67072429999999)"
330,"865 S PARK TER,Chicago,IL","(41.8704072, -87.6295464)"
331,"1126 E 80TH ST,Chicago,IL","(41.7496558, -87.5963147)"
332,"7030 N SACRAMENTO AVE,Chicago,IL","(42.0095099, -87.70490769999999)"
333,"4905 W WABANSIA AVE,Chicago,IL","(41.9114042, -87.7495842)"
334,"6056 N LANDERS AVE,Chicago,IL","(41.9909155, -87.75344899999999)"
335,"3937 W WILCOX ST,Chicago,IL","(41.8787797, -87.7248061)"
336,"6340 N LAKEWOOD AVE,Chicago,IL","(41.997559, -87.663337)"
337,"7240 S WABASH AVE,Chicago,IL","(41.762424, -87.624028)"
338,"2306 W MAYPOLE AVE,Chicago,IL","(41.8841724, -87.6849027)"
339,"3436 N OSCEOLA AVE,Chicago,IL","(41.9425567, -87.81359049999999)"
340,"5415 S UNION AVE,Chicago,IL","(41.7959436, -87.6423281)"
341,"4117 N LAVERGNE AVE,Chicago,IL","(41.955363, -87.7522539)"
342,"8601 W FOSTER AVE,Chicago,IL","(41.97317200000001, -87.8416002)"
343,"4140 N MARINE DR,Chicago,IL","(41.9567418, -87.64699139999999)"
344,"8306 S ST LAWRENCE AVE,Chicago,IL","(41.743127, -87.611012)"
