Name,Type,Address,total,bike ped,serious/fatal,youth,speed,2014Rank,Location,Latitude,Longitude
Antonia Pantoja HS,School,3121 N PULASKI RD,307.0,14.0,6.0,49.0,84.0,71.0,"(41.9379315, -87.72677089999999)",41.9379315, -87.72677089999999
Arai Middle,School,900 W WILSON AVE,189.0,33.0,2.0,17.0,43.0,304.0,"(41.9660193, -87.6521886)",41.9660193, -87.6521886
Arcade,Park,11144 S ST LAWRENCE AVE,59.0,1.0,2.0,20.0,19.0,923.0,"(41.6916659, -87.6083809)",41.6916659, -87.6083809
Archer,Park,4901 S KILBOURN AVE,67.0,4.0,1.0,4.0,12.0,1098.0,"(41.80400969999999, -87.7357124)",41.80400969999999, -87.7357124
Ariel,School,1119 E 46TH ST,105.0,9.0,2.0,15.0,32.0,570.0,"(41.8109791, -87.59842119999999)",41.8109791, -87.59842119999999
Armour,School,950 W 33RD PL,38.0,2.0,0.0,7.0,8.0,1253.0,"(41.8340484, -87.6500959)",41.8340484, -87.6500959
Armour,Park,3309 S SHIELDS AVE,44.0,5.0,1.0,5.0,15.0,1167.0,"(41.83417439999999, -87.6350089)",41.83417439999999, -87.6350089
Armour Br,School,911 W 32ND PL,39.0,4.0,0.0,2.0,7.0,1290.0,"(41.8356259, -87.6490097)",41.8356259, -87.6490097
Armstrong,Park,4433 S ST LAWRENCE,31.0,3.0,1.0,3.0,4.0,1351.0,"(41.814061, -87.6109949)",41.814061, -87.6109949
Armstrong George,School,2111 W ESTES AVE,231.0,17.0,4.0,33.0,68.0,165.0,"(42.0111743, -87.68441969999999)",42.0111743, -87.68441969999999
Armstrong Louis,School,5345 W CONGRESS PKWY,81.0,7.0,3.0,16.0,19.0,826.0,"(41.8735966, -87.7592027)",41.8735966, -87.7592027
Arrigo,Park,1250 W LEXINGTON ST,70.0,5.0,1.0,2.0,12.0,1099.0,"(41.8722099, -87.6588229)",41.8722099, -87.6588229
Ashburn,School,8300 S ST LOUIS AVE,58.0,0.0,0.0,13.0,15.0,958.0,"(41.7418901, -87.7099618)",41.7418901, -87.7099618
Ashburn Lutheran School,School,3345 W 83RD ST,15.0,0.0,0.0,1.0,2.0,1381.0,"(41.7421401, -87.7067141)",41.7421401, -87.7067141
Ashe,School,8505 S INGLESIDE AVE,23.0,4.0,0.0,4.0,8.0,1340.0,"(41.7400343, -87.6009832)",41.7400343, -87.6009832
Ashmore,Park,4807 W GUNNISON ST,299.0,4.0,3.0,35.0,84.0,94.0,"(41.9688535, -87.74817329999999)",41.9688535, -87.74817329999999
Aspen,Park,4237 S WABASH AVE,126.0,14.0,9.0,38.0,34.0,356.0,"(41.8172197, -87.6246682)",41.8172197, -87.6246682
Aster,Park,4639 N KENMORE AVE,216.0,45.0,8.0,16.0,58.0,211.0,"(41.9664747, -87.6558529)",41.9664747, -87.6558529
Athletic Field,Park,3546 W ADDISON ST,186.0,17.0,3.0,26.0,49.0,286.0,"(41.9467205, -87.7169804)",41.9467205, -87.7169804
Auburn,Park,406 W WINNECONNA PKWY,182.0,13.0,4.0,39.0,52.0,250.0,"(41.753072, -87.63495499999999)",41.753072, -87.63495499999999
Audubon,School,3500 N HOYNE AVE,86.0,5.0,2.0,8.0,29.0,802.0,"(41.9453833, -87.6811506)",41.9453833, -87.6811506
Augusta,Park,4431 W AUGUSTA BLVD,65.0,4.0,2.0,20.0,12.0,955.0,"(41.8988393, -87.7367908)",41.8988393, -87.7367908
Austin,Park,5951 W LAKE ST,91.0,4.0,1.0,21.0,24.0,739.0,"(41.8879961, -87.7739753)",41.8879961, -87.7739753
Austin Career Education,School,5352 W CHICAGO AVE,141.0,11.0,5.0,22.0,26.0,507.0,"(41.8951818, -87.76033509999999)",41.8951818, -87.76033509999999
Austin Foster,Park,6020 W FOSTER AVE,102.0,2.0,2.0,9.0,43.0,638.0,"(41.9759391, -87.7789081)",41.9759391, -87.7789081
Austin HS,School,231 N PINE AVE,197.0,18.0,4.0,28.0,42.0,281.0,"(41.88500440000001, -87.76249279999999)",41.88500440000001, -87.76249279999999
Austin Town Hall,Park,5610 W LAKE ST,267.0,21.0,1.0,50.0,68.0,103.0,"(41.888194, -87.76577909999999)",41.888194, -87.76577909999999
Avalon,Park,1215 E 83RD ST,49.0,9.0,3.0,18.0,19.0,956.0,"(41.7437383, -87.5941856)",41.7437383, -87.5941856
Avalon Park,School,8045 S KENWOOD AVE,39.0,2.0,3.0,4.0,11.0,1232.0,"(41.7485226, -87.5912872)",41.7485226, -87.5912872
Avondale,School,2945 N SAWYER AVE,91.0,1.0,0.0,10.0,22.0,846.0,"(41.9351698, -87.70871489999999)",41.9351698, -87.70871489999999
Avondale,Park,3516 W SCHOOL ST,107.0,3.0,1.0,9.0,34.0,692.0,"(41.9412821, -87.71524649999999)",41.9412821, -87.71524649999999
Azuela,School,4707 W MARQUETTE RD,179.0,1.0,2.0,56.0,70.0,189.0,"(41.7707098, -87.7395655)",41.7707098, -87.7395655
Back Of The Yards,Park,4920 S THROOP ST,16.0,0.0,0.0,1.0,3.0,1367.0,"(41.8044432, -87.6575739)",41.8044432, -87.6575739
Bais Yaakov HS,School,3333 W PETERSON AVE,209.0,9.0,6.0,41.0,63.0,191.0,"(41.9900488, -87.71312329999999)",41.9900488, -87.71312329999999
Banneker,School,6656 S NORMAL BL,92.0,8.0,2.0,21.0,21.0,649.0,"(41.7731916, -87.63682109999999)",41.7731916, -87.63682109999999
Banner Acad West,School,6114 W NORTH AVE,70.0,6.0,0.0,14.0,28.0,832.0,"(41.90948179999999, -87.7785488)",41.90948179999999, -87.7785488
Baraga,Park,2440 S LEAVITT ST,56.0,4.0,1.0,5.0,18.0,1080.0,"(41.8472192, -87.680601)",41.8472192, -87.680601
Barberry,Park,2827 W ARTHINGTON ST,73.0,3.0,2.0,11.0,24.0,886.0,"(41.870131, -87.6971349)",41.870131, -87.6971349
Barnard,Park,10441 S LONGWOOD DR,16.0,0.0,1.0,3.0,4.0,1427.0,"(41.7031778, -87.6708424)",41.7031778, -87.6708424
Barnard,School,10354 S CHARLES ST,66.0,6.0,3.0,16.0,16.0,924.0,"(41.705373, -87.65851459999999)",41.705373, -87.65851459999999
Barrett,Park,2022 W CERMAK RD,198.0,13.0,3.0,38.0,68.0,178.0,"(41.8521615, -87.67688299999999)",41.8521615, -87.67688299999999
Barry,School,2828 N KILBOURN AVE,107.0,6.0,1.0,13.0,28.0,621.0,"(41.9326996, -87.73987790000001)",41.9326996, -87.73987790000001
Barton,School,7650 S WOLCOTT AVE,80.0,3.0,3.0,8.0,14.0,983.0,"(41.75460959999999, -87.67149739999999)",41.75460959999999, -87.67149739999999
Bass,School,1140 W 66TH ST,39.0,3.0,1.0,5.0,5.0,1282.0,"(41.774826, -87.65379779999999)",41.774826, -87.65379779999999
Bateman,School,4220 N RICHMOND ST,49.0,4.0,0.0,2.0,5.0,1266.0,"(41.9581759, -87.7026015)",41.9581759, -87.7026015
Bauler,Park,517 W WISCONSIN ST,29.0,1.0,0.0,1.0,2.0,1406.0,"(41.9164587, -87.6417884)",41.9164587, -87.6417884
Beacon Therapeutic Scho,School,10650 S LONGWOOD DR,21.0,2.0,1.0,7.0,6.0,1344.0,"(41.6996246, -87.6712012)",41.6996246, -87.6712012
Beard Special Education,School,6445 W STRONG ST,22.0,0.0,0.0,2.0,5.0,1404.0,"(41.9699408, -87.790275)",41.9699408, -87.790275
Beasley,School,5255 S STATE ST,60.0,2.0,2.0,12.0,15.0,936.0,"(41.7990167, -87.6248351)",41.7990167, -87.6248351
Beaubien,School,5025 N LARAMIE AVE,51.0,3.0,0.0,7.0,5.0,1213.0,"(41.9720396, -87.75681850000001)",41.9720396, -87.75681850000001
Beehive,Park,6156 S DORCHESTER AVE,18.0,1.0,1.0,1.0,1.0,1454.0,"(41.782694, -87.59165899999999)",41.782694, -87.59165899999999
Beethoven,School,25 W 47TH ST,83.0,8.0,2.0,21.0,24.0,656.0,"(41.8092041, -87.62715899999999)",41.8092041, -87.62715899999999
Beidler,School,3151 W WALNUT ST,161.0,10.0,4.0,33.0,52.0,276.0,"(41.8851078, -87.70488879999999)",41.8851078, -87.70488879999999
Beilfuss,Park,1725 N SPRINGFIELD AVE,21.0,1.0,0.0,5.0,6.0,1368.0,"(41.912869, -87.7239692)",41.912869, -87.7239692
Belding,School,4257 N TRIPP AVE,76.0,1.0,2.0,12.0,16.0,953.0,"(41.958895, -87.733679)",41.958895, -87.733679
Bell,Park,3020 N OAK PARK AVE,61.0,2.0,2.0,12.0,15.0,1022.0,"(41.9352459, -87.7960202)",41.9352459, -87.7960202
Bell,School,3730 N OAKLEY AVE,166.0,5.0,3.0,17.0,42.0,395.0,"(41.9494917, -87.6865742)",41.9494917, -87.6865742
Belmont Craigin,School,2456 N MANGO AVE,127.0,7.0,6.0,21.0,48.0,443.0,"(41.924838, -87.77026599999999)",41.924838, -87.77026599999999
Bennett,School,10115 S PRAIRIE AVE,26.0,0.0,1.0,4.0,1.0,1399.0,"(41.71052479999999, -87.6169857)",41.71052479999999, -87.6169857
Bernard Zell Anshe,School,3760 N PINE GROVE AVE,187.0,22.0,5.0,7.0,49.0,331.0,"(41.9511593, -87.6475437)",41.9511593, -87.6475437
Bessemer,Park,8930 S MUSKEGON AVE,92.0,4.0,3.0,26.0,27.0,655.0,"(41.7330945, -87.5555985)",41.7330945, -87.5555985
Bethel Lca Christian,School,4215 W WEST END AVE,77.0,4.0,0.0,18.0,19.0,848.0,"(41.8829556, -87.73127629999999)",41.8829556, -87.73127629999999
Bethesda Lutheran,School,6803 N CAMPBELL AVE,109.0,9.0,4.0,17.0,33.0,600.0,"(42.0052347, -87.69231599999999)",42.0052347, -87.69231599999999
Bethune,School,3030 W ARTHINGTON ST,113.0,3.0,7.0,31.0,35.0,503.0,"(41.8703061, -87.7023)",41.8703061, -87.7023
Beverly,Park,2460 W 102ND ST,202.0,6.0,3.0,62.0,66.0,147.0,"(41.7082007, -87.68315729999999)",41.7082007, -87.68315729999999
Beverly Hills Sda School,School,9356 S JUSTINE ST,95.0,8.0,4.0,28.0,38.0,545.0,"(41.7232858, -87.661833)",41.7232858, -87.661833
Beverly Montessori,School,9916 S WALDEN PKWY,46.0,1.0,1.0,20.0,15.0,1024.0,"(41.713303, -87.6679798)",41.713303, -87.6679798
Bickerdike,Park,1438 W OHIO ST,150.0,10.0,5.0,19.0,47.0,384.0,"(41.892473, -87.66381439999999)",41.892473, -87.66381439999999
Birch,Park,427 E 45TH ST,46.0,1.0,2.0,6.0,11.0,1194.0,"(41.8127769, -87.61524299999999)",41.8127769, -87.61524299999999
Bixler,Park,5641 S KENWOOD AVE,40.0,2.0,0.0,6.0,11.0,1223.0,"(41.7922491, -87.5932457)",41.7922491, -87.5932457
Black Magnet,School,9101 S EUCLID AVE,72.0,3.0,2.0,15.0,31.0,795.0,"(41.729207, -87.5763834)",41.729207, -87.5763834
Blackhawk,Park,2318 N LAVERGNE AVE,204.0,14.0,2.0,46.0,48.0,218.0,"(41.9228767, -87.751605)",41.9228767, -87.751605
Blackwelder,Park,1800 W 115TH ST,78.0,7.0,0.0,20.0,21.0,805.0,"(41.6847207, -87.6670141)",41.6847207, -87.6670141
Blaine,School,1420 W GRACE ST,72.0,4.0,2.0,8.0,12.0,1025.0,"(41.9509477, -87.6650058)",41.9509477, -87.6650058
Blair,School,6751 W 63RD PL,91.0,5.0,0.0,10.0,13.0,917.0,"(41.7763365, -87.789709)",41.7763365, -87.789709
Block,Park,346 W 104TH ST,48.0,1.0,0.0,11.0,17.0,1091.0,"(41.7067469, -87.6328467)",41.7067469, -87.6328467
Bnos Rabbeinu High Scho,School,6237 N WHIPPLE ST,43.0,4.0,1.0,5.0,15.0,1174.0,"(41.9950262, -87.7053763)",41.9950262, -87.7053763
Bogan,Park,3939 W 79TH ST,305.0,15.0,8.0,81.0,77.0,51.0,"(41.7487644, -87.7206719)",41.7487644, -87.7206719
Bogan,Park,3939 W 79TH ST,305.0,15.0,8.0,81.0,77.0,51.0,"(41.7487644, -87.7206719)",41.7487644, -87.7206719
Bogan Tech HS,School,3939 W 79TH ST,319.0,13.0,8.0,93.0,86.0,40.0,"(41.7487644, -87.7206719)",41.7487644, -87.7206719
Bogan Tech HS,School,3939 W 79TH ST,319.0,13.0,8.0,93.0,86.0,40.0,"(41.7487644, -87.7206719)",41.7487644, -87.7206719
Bohn,Park,1978 W 111TH ST,96.0,7.0,0.0,23.0,19.0,735.0,"(41.6919429, -87.67093969999999)",41.6919429, -87.67093969999999
Boler,Park,3601 W ARTHINGTON ST,101.0,4.0,1.0,14.0,21.0,696.0,"(41.8699144, -87.717038)",41.8699144, -87.717038
Bond,School,7050 S MAY ST,109.0,9.0,1.0,16.0,39.0,520.0,"(41.7657146, -87.6534178)",41.7657146, -87.6534178
Bontemps,School,1241 W 58TH ST,79.0,6.0,1.0,20.0,27.0,673.0,"(41.7884892, -87.65648929999999)",41.7884892, -87.65648929999999
Boone,School,6710 N WASHTENAW AVE,70.0,7.0,0.0,15.0,23.0,854.0,"(42.0039664, -87.6979523)",42.0039664, -87.6979523
Bosley,Park,3044 S BONFIELD ST,95.0,7.0,2.0,14.0,20.0,786.0,"(41.83923069999999, -87.65377289999999)",41.83923069999999, -87.65377289999999
Boswell,Park,6646 S UNIVERSITY AVE,43.0,2.0,0.0,17.0,13.0,999.0,"(41.773573, -87.5984797)",41.773573, -87.5984797
Bouchet Alexander,School,7355 S JEFFERY BL,135.0,11.0,3.0,17.0,45.0,461.0,"(41.7611357, -87.57607039999999)",41.7611357, -87.57607039999999
Bowen,School,2710 E 89TH ST,61.0,1.0,0.0,15.0,23.0,937.0,"(41.7344345, -87.55750069999999)",41.7344345, -87.55750069999999
Bradley,Park,9729 S YATES AVE,18.0,1.0,1.0,1.0,3.0,1440.0,"(41.71809710000001, -87.5643236)",41.71809710000001, -87.5643236
Bradwell,School,7736 S BURNHAM AVE,69.0,4.0,1.0,11.0,21.0,938.0,"(41.7548658, -87.55777669999999)",41.7548658, -87.55777669999999
Brainerd,Park,1246 W 92ND ST,47.0,1.0,0.0,4.0,8.0,1245.0,"(41.7270772, -87.654913)",41.7270772, -87.654913
Brands,Park,3285 N ELSTON AVE,324.0,19.0,4.0,56.0,79.0,64.0,"(41.941243, -87.699535)",41.941243, -87.699535
Brennemann,School,4251 N CLARENDON AVE,131.0,12.0,3.0,17.0,28.0,554.0,"(41.9600422, -87.6492392)",41.9600422, -87.6492392
Brentano,School,2723 N FAIRFIELD AVE,283.0,11.0,5.0,18.0,74.0,133.0,"(41.931012, -87.69604269999999)",41.931012, -87.69604269999999
Bricktown Montessori,School,8622 W CATALPA AVE,21.0,0.0,0.0,2.0,3.0,1423.0,"(41.9794596, -87.8434879)",41.9794596, -87.8434879
Bridge,School,3800 N NEW ENGLAND AVE,32.0,3.0,0.0,5.0,6.0,1305.0,"(41.949675, -87.7989339)",41.949675, -87.7989339
Bridgeport Catholic 3,School,3700 S LOWE AVE,38.0,2.0,0.0,6.0,6.0,1275.0,"(41.8266894, -87.6426221)",41.8266894, -87.6426221
Bright Branch,School,10740 S CALHOUN AVE,23.0,1.0,0.0,2.0,5.0,1394.0,"(41.6997402, -87.5623159)",41.6997402, -87.5623159
Brighton,Park,3501 S RICHMOND ST,21.0,0.0,2.0,0.0,3.0,1352.0,"(41.8297016, -87.69833779999999)",41.8297016, -87.69833779999999
Brighton Park,School,3825 S WASHTENAW AVE,136.0,9.0,2.0,33.0,48.0,361.0,"(41.8239989, -87.6918618)",41.8239989, -87.6918618
Brisk Acad_Yeshivas Brisk,School,3000 W. DEVON AVE,151.0,8.0,1.0,16.0,43.0,444.0,"(41.9975768, -87.70471859999999)",41.9975768, -87.70471859999999
Bromann,Park,5400 N BROADWAY,98.0,7.0,0.0,4.0,29.0,792.0,"(41.9800704, -87.6599888)",41.9800704, -87.6599888
Broncho Billy,Park,4437 N MAGNOLIA AVE,83.0,1.0,0.0,5.0,15.0,1002.0,"(41.9628196, -87.66097769999999)",41.9628196, -87.66097769999999
Bronzeville Lighthouse Ch,School,8 W ROOT ST,46.0,2.0,0.0,11.0,8.0,1182.0,"(41.81982929999999, -87.6269947)",41.81982929999999, -87.6269947
Brooks,Park,4542 S GREENWOOD AVE,35.0,2.0,1.0,12.0,13.0,1177.0,"(41.8119775, -87.5993191)",41.8119775, -87.5993191
Brooks,Park,7046 N HARLEM AVE,102.0,4.0,4.0,25.0,31.0,602.0,"(42.0092711, -87.80667)",42.0092711, -87.80667
Brooks College Prep,School,250 E 111TH ST,144.0,8.0,4.0,38.0,31.0,390.0,"(41.6941384, -87.6158444)",41.6941384, -87.6158444
Brother Rice HS,School,10001 S PULASKI RD,15.0,2.0,0.0,10.0,9.0,1315.0,"(41.7110849, -87.71997309999999)",41.7110849, -87.71997309999999
Brown,Park,644 E 86TH ST,104.0,2.0,1.0,19.0,27.0,679.0,"(41.7383971, -87.6086796)",41.7383971, -87.6086796
Brown Acad,School,12607 S UNION AVE,121.0,8.0,2.0,38.0,37.0,436.0,"(41.6648631, -87.6386967)",41.6648631, -87.6386967
"Brown, William",School,54 N HERMITAGE AVE,95.0,9.0,7.0,15.0,28.0,688.0,"(41.882633, -87.6705831)",41.882633, -87.6705831
Brownell,School,6741 S MICHIGAN AVE,82.0,2.0,1.0,12.0,30.0,796.0,"(41.7715893, -87.62140649999999)",41.7715893, -87.62140649999999
Brunson,School,5600 W IOWA ST,201.0,19.0,4.0,45.0,42.0,235.0,"(41.897163, -87.76606400000001)",41.897163, -87.76606400000001
Brynford,Park,5640 N PULASKI RD,68.0,4.0,1.0,16.0,21.0,893.0,"(41.9840401, -87.72845509999999)",41.9840401, -87.72845509999999
Buckingham,School,9207 S PHILLIPS AVE,42.0,1.0,0.0,7.0,19.0,1146.0,"(41.7270568, -87.5645093)",41.7270568, -87.5645093
Buckthorn,Park,4347 S CALUMET AVE,111.0,6.0,4.0,34.0,41.0,400.0,"(41.815197, -87.617955)",41.815197, -87.617955
Budlong,School,2701 W FOSTER AVE,210.0,13.0,1.0,29.0,59.0,234.0,"(41.9753187, -87.6968823)",41.9753187, -87.6968823
Buena Circle,Park,1049 W BUENA,40.0,0.0,0.0,0.0,8.0,1314.0,"(41.9586072, -87.65656129999999)",41.9586072, -87.65656129999999
Buffalo,Park,4500 N CALIFORNIA AVE,33.0,2.0,1.0,1.0,4.0,1362.0,"(41.9631994, -87.6988393)",41.9631994, -87.6988393
Bunche,School,6515 S ASHLAND AVE,94.0,9.0,4.0,16.0,28.0,698.0,"(41.7751925, -87.6637097)",41.7751925, -87.6637097
Burbank,School,2035 N MOBILE AVE,55.0,2.0,1.0,5.0,6.0,1204.0,"(41.9176413, -87.7818119)",41.9176413, -87.7818119
Burham Acad,School,1903 E 96TH ST,37.0,1.0,0.0,8.0,13.0,1205.0,"(41.7206139, -87.5772594)",41.7206139, -87.5772594
Burke,School,5356 S DR MARTIN LUTHER KING,39.0,3.0,2.0,12.0,6.0,1115.0,"(41.7968952, -87.6160225)",41.7968952, -87.6160225
Burley,School,1630 W BARRY AVE,330.0,35.0,8.0,31.0,85.0,68.0,"(41.9380894, -87.66983049999999)",41.9380894, -87.66983049999999
Burnside,Park,9400 S GREENWOOD AVE,31.0,4.0,1.0,6.0,11.0,1258.0,"(41.7240178, -87.5972623)",41.7240178, -87.5972623
Burnside Acad,School,650 E 91ST PL,34.0,0.0,0.0,0.0,4.0,1376.0,"(41.7288177, -87.60766)",41.7288177, -87.60766
Burr,School,1621 W WABANSIA AVE,447.0,24.0,8.0,32.0,106.0,34.0,"(41.91212700000001, -87.6686796)",41.91212700000001, -87.6686796
Burroughs,School,3542 S WASHTENAW AVE,126.0,5.0,2.0,19.0,37.0,481.0,"(41.8288647, -87.69269919999999)",41.8288647, -87.69269919999999
Buttercup,Park,4913 N SHERIDAN RD,94.0,11.0,1.0,10.0,26.0,760.0,"(41.9723622, -87.65490199999999)",41.9723622, -87.65490199999999
Butternut,Park,5324 S WOODLAWN AVE,82.0,13.0,2.0,6.0,27.0,818.0,"(41.7986855, -87.59662580000001)",41.7986855, -87.59662580000001
Byrne,School,5329 S OAK PARK AVE,30.0,0.0,0.0,7.0,9.0,1286.0,"(41.7948196, -87.79101759999999)",41.7948196, -87.79101759999999
Byron Ctr,School,6050 N CALIFORNIA AVE,208.0,12.0,8.0,52.0,70.0,144.0,"(41.9918762, -87.69980079999999)",41.9918762, -87.69980079999999
C A L A _ North,School,5959 N SHERIDAN RD,193.0,22.0,2.0,16.0,65.0,254.0,"(41.9904941, -87.65483139999999)",41.9904941, -87.65483139999999
C A L A _ West,School,3814 W IOWA ST,98.0,13.0,3.0,11.0,21.0,682.0,"(41.8974793, -87.72210830000002)",41.8974793, -87.72210830000002
Caldwell,School,8546 S CREGIER AVE,16.0,1.0,1.0,0.0,6.0,1430.0,"(41.7392845, -87.5815346)",41.7392845, -87.5815346
Calhoun North,School,2833 W ADAMS ST,131.0,6.0,3.0,29.0,26.0,516.0,"(41.8781359, -87.6975332)",41.8781359, -87.6975332
California,Park,3843 N CALIFORNIA AVE,222.0,10.0,2.0,45.0,67.0,161.0,"(41.9517076, -87.6970874)",41.9517076, -87.6970874
Calmeca,School,3456 W. 38TH ST,20.0,0.0,0.0,1.0,6.0,1414.0,"(41.8245538, -87.71140009999999)",41.8245538, -87.71140009999999
Calumet HS,School,8131 S MAY ST,102.0,9.0,1.0,27.0,28.0,601.0,"(41.7459618, -87.6515055)",41.7459618, -87.6515055
