Address,Location,Latitude,Longitude
6803 N CAMPBELL AVE,"(42.0052347, -87.69231599999999)",42.0052347, -87.69231599999999
3030 W ARTHINGTON ST,"(41.8703061, -87.7023)",41.8703061, -87.7023
2460 W 102ND ST,"(41.7082007, -87.68315729999999)",41.7082007, -87.68315729999999
9356 S JUSTINE ST,"(41.7232858, -87.661833)",41.7232858, -87.661833
9916 S WALDEN PKWY,"(41.713303, -87.6679798)",41.713303, -87.6679798
1438 W OHIO ST,"(41.892473, -87.66381439999999)",41.892473, -87.66381439999999
427 E 45TH ST,"(41.8127769, -87.61524299999999)",41.8127769, -87.61524299999999
5641 S KENWOOD AVE,"(41.7922491, -87.5932457)",41.7922491, -87.5932457
9101 S EUCLID AVE,"(41.729207, -87.5763834)",41.729207, -87.5763834
2318 N LAVERGNE AVE,"(41.9228767, -87.751605)",41.9228767, -87.751605
1800 W 115TH ST,"(41.6847207, -87.6670141)",41.6847207, -87.6670141
1420 W GRACE ST,"(41.9509477, -87.6650058)",41.9509477, -87.6650058
6751 W 63RD PL,"(41.7763365, -87.789709)",41.7763365, -87.789709
346 W 104TH ST,"(41.7067469, -87.6328467)",41.7067469, -87.6328467
6237 N WHIPPLE ST,"(41.9950262, -87.7053763)",41.9950262, -87.7053763
3939 W 79TH ST,"(41.7487644, -87.7206719)",41.7487644, -87.7206719
3939 W 79TH ST,"(41.7487644, -87.7206719)",41.7487644, -87.7206719
1978 W 111TH ST,"(41.6919429, -87.67093969999999)",41.6919429, -87.67093969999999
3601 W ARTHINGTON ST,"(41.8699144, -87.717038)",41.8699144, -87.717038
7050 S MAY ST,"(41.7657146, -87.6534178)",41.7657146, -87.6534178
1241 W 58TH ST,"(41.7884892, -87.65648929999999)",41.7884892, -87.65648929999999
6710 N WASHTENAW AVE,"(42.0039664, -87.6979523)",42.0039664, -87.6979523
3044 S BONFIELD ST,"(41.83923069999999, -87.65377289999999)",41.83923069999999, -87.65377289999999
6646 S UNIVERSITY AVE,"(41.773573, -87.5984797)",41.773573, -87.5984797
7355 S JEFFERY BL,"(41.7611357, -87.57607039999999)",41.7611357, -87.57607039999999
2710 E 89TH ST,"(41.7344345, -87.55750069999999)",41.7344345, -87.55750069999999
9729 S YATES AVE,"(41.71809710000001, -87.5643236)",41.71809710000001, -87.5643236
7736 S BURNHAM AVE,"(41.7548658, -87.55777669999999)",41.7548658, -87.55777669999999
1246 W 92ND ST,"(41.7270772, -87.654913)",41.7270772, -87.654913
3285 N ELSTON AVE,"(41.941243, -87.699535)",41.941243, -87.699535
4251 N CLARENDON AVE,"(41.9600422, -87.6492392)",41.9600422, -87.6492392
2723 N FAIRFIELD AVE,"(41.931012, -87.69604269999999)",41.931012, -87.69604269999999
8622 W CATALPA AVE,"(41.9794596, -87.8434879)",41.9794596, -87.8434879
3800 N NEW ENGLAND AVE,"(41.949675, -87.7989339)",41.949675, -87.7989339
3700 S LOWE AVE,"(41.8266894, -87.6426221)",41.8266894, -87.6426221
10740 S CALHOUN AVE,"(41.6997402, -87.5623159)",41.6997402, -87.5623159
3501 S RICHMOND ST,"(41.8297016, -87.69833779999999)",41.8297016, -87.69833779999999
3825 S WASHTENAW AVE,"(41.8239989, -87.6918618)",41.8239989, -87.6918618
3000 W. DEVON AVE,"(41.9975768, -87.70471859999999)",41.9975768, -87.70471859999999
5400 N BROADWAY,"(41.9800704, -87.6599888)",41.9800704, -87.6599888
4437 N MAGNOLIA AVE,"(41.9628196, -87.66097769999999)",41.9628196, -87.66097769999999
8 W ROOT ST,"(41.81982929999999, -87.6269947)",41.81982929999999, -87.6269947
4542 S GREENWOOD AVE,"(41.8119775, -87.5993191)",41.8119775, -87.5993191
7046 N HARLEM AVE,"(42.0092711, -87.80667)",42.0092711, -87.80667
250 E 111TH ST,"(41.6941384, -87.6158444)",41.6941384, -87.6158444
10001 S PULASKI RD,"(41.7110849, -87.71997309999999)",41.7110849, -87.71997309999999
644 E 86TH ST,"(41.7383971, -87.6086796)",41.7383971, -87.6086796
12607 S UNION AVE,"(41.6648631, -87.6386967)",41.6648631, -87.6386967
54 N HERMITAGE AVE,"(41.882633, -87.6705831)",41.882633, -87.6705831
6741 S MICHIGAN AVE,"(41.7715893, -87.62140649999999)",41.7715893, -87.62140649999999
5600 W IOWA ST,"(41.897163, -87.76606400000001)",41.897163, -87.76606400000001
5640 N PULASKI RD,"(41.9840401, -87.72845509999999)",41.9840401, -87.72845509999999
9207 S PHILLIPS AVE,"(41.7270568, -87.5645093)",41.7270568, -87.5645093
4347 S CALUMET AVE,"(41.815197, -87.617955)",41.815197, -87.617955
2701 W FOSTER AVE,"(41.9753187, -87.6968823)",41.9753187, -87.6968823
1049 W BUENA,"(41.9586072, -87.65656129999999)",41.9586072, -87.65656129999999
4500 N CALIFORNIA AVE,"(41.9631994, -87.6988393)",41.9631994, -87.6988393
6515 S ASHLAND AVE,"(41.7751925, -87.6637097)",41.7751925, -87.6637097
2035 N MOBILE AVE,"(41.9176413, -87.7818119)",41.9176413, -87.7818119
1903 E 96TH ST,"(41.7206139, -87.5772594)",41.7206139, -87.5772594
5356 S DR MARTIN LUTHER KING,"(41.7968952, -87.6160225)",41.7968952, -87.6160225
1630 W BARRY AVE,"(41.9380894, -87.66983049999999)",41.9380894, -87.66983049999999
9400 S GREENWOOD AVE,"(41.7240178, -87.5972623)",41.7240178, -87.5972623
650 E 91ST PL,"(41.7288177, -87.60766)",41.7288177, -87.60766
1621 W WABANSIA AVE,"(41.91212700000001, -87.6686796)",41.91212700000001, -87.6686796
3542 S WASHTENAW AVE,"(41.8288647, -87.69269919999999)",41.8288647, -87.69269919999999
4913 N SHERIDAN RD,"(41.9723622, -87.65490199999999)",41.9723622, -87.65490199999999
5324 S WOODLAWN AVE,"(41.7986855, -87.59662580000001)",41.7986855, -87.59662580000001
5329 S OAK PARK AVE,"(41.7948196, -87.79101759999999)",41.7948196, -87.79101759999999
6050 N CALIFORNIA AVE,"(41.9918762, -87.69980079999999)",41.9918762, -87.69980079999999
5959 N SHERIDAN RD,"(41.9904941, -87.65483139999999)",41.9904941, -87.65483139999999
3814 W IOWA ST,"(41.8974793, -87.72210830000002)",41.8974793, -87.72210830000002
8546 S CREGIER AVE,"(41.7392845, -87.5815346)",41.7392845, -87.5815346
2833 W ADAMS ST,"(41.8781359, -87.6975332)",41.8781359, -87.6975332
3843 N CALIFORNIA AVE,"(41.9517076, -87.6970874)",41.9517076, -87.6970874
3456 W. 38TH ST,"(41.8245538, -87.71140009999999)",41.8245538, -87.71140009999999
8131 S MAY ST,"(41.7459618, -87.6515055)",41.7459618, -87.6515055
9801 S AVENUE G,"(41.7178298, -87.5306437)",41.7178298, -87.5306437
1234 N MONTICELLO AVE,"(41.9040722, -87.7182183)",41.9040722, -87.7182183
3000 N MANGO AVE,"(41.93535929999999, -87.7703738)",41.93535929999999, -87.7703738
2701 S ASHLAND AVE,"(41.842111, -87.6657575)",41.842111, -87.6657575
4959 S BLACKSTONE AVE,"(41.80465239999999, -87.5900906)",41.80465239999999, -87.5900906
3740 N PANAMA AVE,"(41.94792899999999, -87.829899)",41.94792899999999, -87.829899
8701 SOUTH BENNETT,"(41.7368137, -87.57774789999999)",41.7368137, -87.57774789999999
2345 S MILLARD AVE,"(41.84843499999999, -87.71559719999999)",41.84843499999999, -87.71559719999999
2406 S CENTRAL PARK AVE,"(41.8477075, -87.7152998)",41.8477075, -87.7152998
1651 W DIVERSEY PKWY,"(41.93175859999999, -87.67048679999999)",41.93175859999999, -87.67048679999999
5522 N MILWAUKEE AVE,"(41.9820411, -87.77399489999999)",41.9820411, -87.77399489999999
6441 N CENTRAL AVE,"(41.9985201, -87.7631388)",41.9985201, -87.7631388
1224 W CARMEN AVE,"(41.9745965, -87.6608776)",41.9745965, -87.6608776
1414 E 61ST PL,"(41.7835894, -87.5910163)",41.7835894, -87.5910163
6155 S CARPENTER ST,"(41.78166299999999, -87.650565)",41.78166299999999, -87.650565
1250 W ERIE ST,"(41.8939416, -87.6587921)",41.8939416, -87.6587921
2929 W 83RD ST,"(41.7421281, -87.6968203)",41.7421281, -87.6968203
5516 S MAPLEWOOD AVE,"(41.793112, -87.687934)",41.793112, -87.687934
5740 S MICHIGAN AVE,"(41.79001179999999, -87.6223529)",41.79001179999999, -87.6223529
939 E 132ND ST,"(41.6558488, -87.5986161)",41.6558488, -87.5986161
13100 S CARVER DR,"(42.3327874, -87.8636813)",42.3327874, -87.8636813
901 E 133RD PL,"(41.653157, -87.6009888)",41.653157, -87.6009888
3501 W POTOMAC AVE,"(41.90404179999999, -87.71457550000001)",41.90404179999999, -87.71457550000001
11314 S SPAULDING AVE,"(41.6875193, -87.70396290000001)",41.6875193, -87.70396290000001
2524 S CENTRAL PARK AVE,"(41.8455403, -87.71514309999999)",41.8455403, -87.71514309999999
4330 S KEDVALE AVE,"(41.814104, -87.72782099999999)",41.814104, -87.72782099999999
2908 W WASHINGTON BL,"(41.8832454, -87.6993324)",41.8832454, -87.6993324
226 W SCHILLER,"(41.9078693, -87.6358492)",41.9078693, -87.6358492
5315 N WINTHROP AVE,"(41.9786773, -87.6578954)",41.9786773, -87.6578954
6086 N NORTHWEST HWY,"(41.9920952, -87.7985949)",41.9920952, -87.7985949
721 N CENTRAL PARK AVE,"(41.89431820000001, -87.71627339999999)",41.89431820000001, -87.71627339999999
1100 W IRVING PARK RD,"(41.954629, -87.6572544)",41.954629, -87.6572544
2745 W ROOSEVELT RD,"(41.8661963, -87.6951283)",41.8661963, -87.6951283
4233 S GREENWOOD AVE,"(41.8173018, -87.5993836)",41.8173018, -87.5993836
5145 N LEAVITT ST,"(41.9750319, -87.6842531)",41.9750319, -87.6842531
2021 N POINT ST,"(41.918172, -87.6942832)",41.918172, -87.6942832
4725 N ASHLAND AVE,"(41.9678729, -87.6693414)",41.9678729, -87.6693414
4747 S MARSHFIELD AVE,"(41.8073824, -87.6657907)",41.8073824, -87.6657907
2809 W JARVIS AVE,"(42.01531689999999, -87.700188)",42.01531689999999, -87.700188
7005 S DANTE AVE,"(41.7677341, -87.58902479999999)",41.7677341, -87.58902479999999
2205 W BELMONT AVE,"(41.9393428, -87.6834526)",41.9393428, -87.6834526
3400 N AUSTIN AVE,"(41.9430077, -87.77735589999999)",41.9430077, -87.77735589999999
1010 W CHICAGO,"(41.8965186, -87.6531728)",41.8965186, -87.6531728
3807 W 111TH ST,"(41.6913273, -87.71612239999999)",41.6913273, -87.71612239999999
3737 S PAULINA ST,"(41.8256821, -87.6675037)",41.8256821, -87.6675037
5110 W DIVERSEY,"(41.93177379999999, -87.7546083)",41.93177379999999, -87.7546083
5700 N PULASKI RD,"(41.9845136, -87.7287498)",41.9845136, -87.7287498
541 W HAWTHORNE PL,"(41.9442229, -87.64263179999999)",41.9442229, -87.64263179999999
2189 W BOWLER ST,"(41.8701894, -87.6805182)",41.8701894, -87.6805182
2235 N HAMILTON ST,"(41.92249839999999, -87.68083229999999)",41.92249839999999, -87.68083229999999
1309 W 95TH ST,"(41.7203832, -87.655901)",41.7203832, -87.655901
3900 W PETERSON AVE,"(41.9908915, -87.72756849999999)",41.9908915, -87.72756849999999
11530 S PRAIRIE AVE,"(41.6844598, -87.6167782)",41.6844598, -87.6167782
6105 S MICHIGAN AVE,"(41.7834911, -87.62153200000002)",41.7834911, -87.62153200000002
2245 N MC VICKER AVE,"(41.9217723, -87.7765625)",41.9217723, -87.7765625
212 S FRANCISCO AVE,"(41.8778555, -87.6991705)",41.8778555, -87.6991705
5058 W JACKSON BLVD,"(41.8771777, -87.7516546)",41.8771777, -87.7516546
1850 W ROOSEVELT RD,"(41.8672328, -87.6724245)",41.8672328, -87.6724245
7202 N CLARK ST,"(42.0129142, -87.6746679)",42.0129142, -87.6746679
3519 S GILES AVE,"(41.8301051, -87.6189808)",41.8301051, -87.6189808
7008 S MICHIGAN AVE,"(41.7669482, -87.62223469999999)",41.7669482, -87.62223469999999
1248 W 69TH ST,"(41.7689197, -87.6563164)",41.7689197, -87.6563164
38 S PEORIA ST,"(41.8808261, -87.65001889999999)",41.8808261, -87.65001889999999
2100 E 87TH ST,"(41.7384975, -87.5725195)",41.7384975, -87.5725195
1300 W LOYOLA AVE,"(42.0016472, -87.6637475)",42.0016472, -87.6637475
1240 S PULASKI RD,"(41.8652136, -87.7254663)",41.8652136, -87.7254663
1241 S PULASKI RD,"(41.8648675, -87.72478029999999)",41.8648675, -87.72478029999999
12803 S HALSTED ST,"(41.66120799999999, -87.640973)",41.66120799999999, -87.640973
5480 S KENWOOD AVE,"(41.7957122, -87.59386119999999)",41.7957122, -87.59386119999999
2301 S WENTWORTH AVE,"(41.8507437, -87.6316269)",41.8507437, -87.6316269
6758 N SACRAMENTO AVE,"(42.0046431, -87.7045938)",42.0046431, -87.7045938
3420 N LONG AVE,"(41.9432061, -87.762451)",41.9432061, -87.762451
2450 W RICE ST,"(41.8970977, -87.6885334)",41.8970977, -87.6885334
11429 S DR MARTIN LUTHER KIN,"(41.6863447, -87.61319950000001)",41.6863447, -87.61319950000001
5335 W LE MOYNE ST,"(41.9076355, -87.7596148)",41.9076355, -87.7596148
9240 S HOYNE AVE,"(41.7254553, -87.67451980000001)",41.7254553, -87.67451980000001
3701 S LAKE PARK AVE,"(41.8285967, -87.6059032)",41.8285967, -87.6059032
1533 S CHRISTIANA AVE,"(41.8597919, -87.7091286)",41.8597919, -87.7091286
5042 S ARTESIAN AVE,"(41.8016594, -87.6858604)",41.8016594, -87.6858604
1825 N DAMEN AVE,"(41.9146158, -87.6775729)",41.9146158, -87.6775729
8001 S HONORE ST,"(41.748439, -87.66944339999999)",41.748439, -87.66944339999999
118 N CENTRAL AVE,"(41.8828423, -87.7654124)",41.8828423, -87.7654124
2342 W FLOURNOY ST,"(41.8730337, -87.6854996)",41.8730337, -87.6854996
4501 N CLARENDON AVE,"(41.96367739999999, -87.64931589999999)",41.96367739999999, -87.64931589999999
1045 S MONITOR AVE,"(41.8678731, -87.769894)",41.8678731, -87.769894
4615 W JACKSON BLVD,"(41.8767224, -87.740962)",41.8767224, -87.740962
3400 N ROCKWELL AVE,"(41.9433816, -87.6946043)",41.9433816, -87.6946043
5101 W HARRISON ST,"(41.8724677, -87.7526627)",41.8724677, -87.7526627
13231 S BURLEY AVE,"(41.65469340000001, -87.5440749)",41.65469340000001, -87.5440749
2334 W DIVISION ST,"(41.9033448, -87.685932)",41.9033448, -87.685932
1147 N WESTERN AVE,"(41.9026168, -87.68612949999999)",41.9026168, -87.68612949999999
3121 W BYRON ST,"(41.9516981, -87.7059151)",41.9516981, -87.7059151
6110 N FAIRFIELD AVE,"(41.9931865, -87.6982638)",41.9931865, -87.6982638
2350 W 110TH PL,"(41.6929416, -87.6807159)",41.6929416, -87.6807159
2210 N SOUTHPORT AVE,"(41.921982, -87.66321099999999)",41.921982, -87.66321099999999
1755 N CLYBOURN AVE,"(41.9129985, -87.6524106)",41.9129985, -87.6524106
5554 N MAGNOLIA AVE,"(41.9834901, -87.66135100000001)",41.9834901, -87.66135100000001
30 E 61ST ST,"(41.7837259, -87.62422699999999)",41.7837259, -87.62422699999999
361 E 85TH ST,"(41.7401361, -87.6156496)",41.7401361, -87.6156496
900 E 54TH PL,"(41.7964564, -87.6032658)",41.7964564, -87.6032658
1441 W 119TH ST,"(41.6774712, -87.65955819999999)",41.6774712, -87.65955819999999
8441 S YATES BL,"(41.74161429999999, -87.5655081)",41.74161429999999, -87.5655081
1466 S WABASH AVE,"(41.8622781, -87.62571410000001)",41.8622781, -87.62571410000001
1313 S SACRAMENTO DR,"(41.86436250000001, -87.7010703)",41.86436250000001, -87.7010703
4520 S KEDZIE AVE,"(41.8109217, -87.7044239)",41.8109217, -87.7044239
1003 N LEAVITT ST,"(41.8996893, -87.6814153)",41.8996893, -87.6814153
500 S CENTRAL AVE,"(41.8737893, -87.76496130000001)",41.8737893, -87.76496130000001
1231 S PULASKI RD,"(41.865081, -87.7247639)",41.865081, -87.7247639
7832 S UNION AVE,"(41.7513598, -87.6416157)",41.7513598, -87.6416157
1845 W RICE ST,"(41.896629, -87.6738079)",41.896629, -87.6738079
871 N WABASH AVE,"(41.8985952, -87.6267053)",41.8985952, -87.6267053
8150 S BISHOP ST,"(41.7458533, -87.66016599999999)",41.7458533, -87.66016599999999
4046 N LEAVITT ST,"(41.9554175, -87.6839971)",41.9554175, -87.6839971
1332 W 117TH ST,"(41.6812613, -87.65545940000001)",41.6812613, -87.65545940000001
1624 W 19TH ST,"(41.8561772, -87.66726390000001)",41.8561772, -87.66726390000001
6010 S THROOP ST,"(41.784509, -87.6573787)",41.784509, -87.6573787
2510 S KILDARE AVE,"(41.8454986, -87.7320658)",41.8454986, -87.7320658
821 E 103RD ST,"(41.7065428, -87.6025983)",41.7065428, -87.6025983
5473 S CORNELL AVE,"(41.7958793, -87.5854264)",41.7958793, -87.5854264
1809 W 50TH ST,"(41.802523, -87.67007269999999)",41.802523, -87.67007269999999
1111 N WELLS ST,"(41.9026045, -87.634106)",41.9026045, -87.634106
2100 W 91ST ST,"(41.7283392, -87.6746297)",41.7283392, -87.6746297
44 W 15TH ST,"(41.86191729999999, -87.6291188)",41.86191729999999, -87.6291188
5058 W WEST END AVE,"(41.88343, -87.75254799999999)",41.88343, -87.75254799999999
11030 S LONGWOOD DR,"(41.69349829999999, -87.671672)",41.69349829999999, -87.671672
1726 W BERTEAU AVE,"(41.9579923, -87.6718558)",41.9579923, -87.6718558
2611 N LOCKWOOD AVE,"(41.9281734, -87.7578479)",41.9281734, -87.7578479
2245 W JACKSON BL,"(41.876848, -87.6832325)",41.876848, -87.6832325
1516 S KARLOV AVE,"(41.8600884, -87.72772909999999)",41.8600884, -87.72772909999999
2040 W ADAMS ST,"(41.87909250000001, -87.67842019999999)",41.87909250000001, -87.67842019999999
2230 N DOMINICK ST,"(41.92221019999999, -87.667361)",41.92221019999999, -87.667361
2230 W 108TH PL,"(41.6966693, -87.677689)",41.6966693, -87.677689
1851 W CERMAK ROAD,"(41.851826, -87.67294079999999)",41.851826, -87.67294079999999
2128 S ST LOUIS AVE,"(41.852819, -87.7128551)",41.852819, -87.7128551
8521 S COMMERCIAL AVE,"(41.7403293, -87.551096)",41.7403293, -87.551096
8324 S RACINE AVE,"(41.7420731, -87.6535167)",41.7420731, -87.6535167
10650 S EBERHART AVE,"(41.7002756, -87.6116202)",41.7002756, -87.6116202
4959 S ARCHER AVE,"(41.8022402, -87.721707)",41.8022402, -87.721707
4959 S ARCHER AVE,"(41.8022402, -87.721707)",41.8022402, -87.721707
32 E 115TH ST,"(41.6857487, -87.622046)",41.6857487, -87.622046
5024 S WOLCOTT AVE,"(41.80240149999999, -87.6724481)",41.80240149999999, -87.6724481
3116 W BELDEN AVE,"(41.9235103, -87.7053037)",41.9235103, -87.7053037
3014 W 39TH PL,"(41.8222433, -87.7003271)",41.8222433, -87.7003271
5427 W DIVISION ST,"(41.9019434, -87.7621073)",41.9019434, -87.7621073
4430 S MARSHFIELD AVE,"(41.8132366, -87.6668854)",41.8132366, -87.6668854
6730 S PAULINA ST,"(41.771165, -87.666045)",41.771165, -87.666045
8040 S DAMEN AVE,"(41.7473168, -87.6730596)",41.7473168, -87.6730596
